heuristic,tier,gbm,mlp
gap,minimal_probe (all 6),0.16377628513692574,0.15364948320038882
gap,minimal_probe_NO_fertile (5),0.19884575115071607,0.15620281401746364
gap,minimal + n_fertile ONLY,0.1707033539694594,0.15858611818854826
gap,full_probe_NO_fertile,0.16394898459779325,0.17121863307411264
rand,minimal_probe (all 6),0.23295000020830922,0.209370752376462
rand,minimal_probe_NO_fertile (5),0.23772648062786553,0.21403761502405197
rand,minimal + n_fertile ONLY,0.35792898150958136,0.3682555531876009
rand,full_probe_NO_fertile,0.15463901042747727,0.15155689065361894
