heuristic,feature_set,size,rep,method,rmse_log10
gap,full,50,6,gbm,0.25417138933549654
gap,full,50,6,mlp,0.4490871764906763
gap,full,50,7,gbm,0.31119259025799556
gap,full,50,7,mlp,0.6680818607306093
gap,full,50,8,gbm,0.24166934424972272
gap,full,50,8,mlp,0.4946228160114139
gap,full,50,9,gbm,0.2629175021245767
gap,full,50,9,mlp,0.4088447586069159
gap,full,100,0,gbm,0.25842999691823
gap,full,100,0,mlp,0.5265163917173615
gap,full,100,1,gbm,0.25258103246316455
gap,full,100,1,mlp,0.38420086759940114
gap,full,100,2,gbm,0.22650427167352344
gap,full,100,2,mlp,0.2745003020609587
gap,full,100,3,gbm,0.22148076755995336
gap,full,100,3,mlp,0.34830681607223934
gap,full,100,4,gbm,0.23855936883076878
gap,full,100,4,mlp,0.30372134007115204
gap,full,100,5,gbm,0.2526673908226645
gap,full,100,5,mlp,0.49229612798750216
gap,full,100,6,gbm,0.22555069692712773
gap,full,100,6,mlp,0.32038295941186995
gap,full,100,7,gbm,0.22750703276608533
gap,full,100,7,mlp,0.3465635075629332
gap,full,100,8,gbm,0.2367401038475721
gap,full,100,8,mlp,0.3740176012224568
gap,full,100,9,gbm,0.250583964292216
gap,full,100,9,mlp,0.2910551808877053
gap,full,200,0,gbm,0.2329893661594075
gap,full,200,0,mlp,0.2974720437455591
gap,full,200,1,gbm,0.23804986763074762
gap,full,200,1,mlp,0.2585313690641743
gap,full,200,2,gbm,0.23084969570981356
gap,full,200,2,mlp,0.22723762196815062
gap,full,200,3,gbm,0.22520530974085184
gap,full,200,3,mlp,0.24094732985379655
gap,full,200,4,gbm,0.22096400633202337
gap,full,200,4,mlp,0.29212160234100015
gap,full,200,5,gbm,0.2296516241808386
gap,full,200,5,mlp,0.35208305745107926
gap,full,200,6,gbm,0.22562391499451903
gap,full,200,6,mlp,0.3019903889394354
gap,full,200,7,gbm,0.2362813830154418
gap,full,200,7,mlp,0.2602703395413799
gap,full,200,8,gbm,0.22541107088220874
gap,full,200,8,mlp,0.24439064803763957
gap,full,200,9,gbm,0.23507496878048614
gap,full,200,9,mlp,0.22585113382828473
gap,full,400,0,gbm,0.24121309215034323
gap,full,400,0,mlp,0.26456018809035475
gap,full,400,1,gbm,0.21391491828870154
gap,full,400,1,mlp,0.22561633273303267
gap,full,400,2,gbm,0.21063347501829474
gap,full,400,2,mlp,0.21249074693574974
gap,full,400,3,gbm,0.22791988304137045
gap,full,400,3,mlp,0.2084621074276786
gap,full,400,4,gbm,0.21824888037160142
gap,full,400,4,mlp,0.2240132966155017
gap,full,400,5,gbm,0.22508061283122197
gap,full,400,5,mlp,0.26450076221566293
gap,full,400,6,gbm,0.22930624098659294
gap,full,400,6,mlp,0.30610911748864106
gap,full,400,7,gbm,0.21409631987111366
gap,full,400,7,mlp,0.21847700264064657
gap,full,400,8,gbm,0.21023834255496432
gap,full,400,8,mlp,0.2152755042816316
gap,full,400,9,gbm,0.22876943723870433
gap,full,400,9,mlp,0.21212028423885565
gap,full,800,0,gbm,0.2030571584088168
gap,full,800,0,mlp,0.2082132158578273
gap,full,800,1,gbm,0.21216796341847122
gap,full,800,1,mlp,0.20586741466833097
gap,full,800,2,gbm,0.20563642489174963
gap,full,800,2,mlp,0.19778413321049315
gap,full,800,3,gbm,0.2121664382573178
gap,full,800,3,mlp,0.2037395307491985
gap,full,800,4,gbm,0.20288053617032145
gap,full,800,4,mlp,0.21294852847706314
gap,full,800,5,gbm,0.20577856448139292
gap,full,800,5,mlp,0.20756520839264525
